Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Column,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
7.910,0.237,0.537,1.090,sheet1,,0.00V,tnet,3in,0.75in,0.75in,default_clock
7.073,0.248,0.548,1.927,sheet1,,0.00V,tnet,3in,0.75in,1.5in,default_clock
7.902,0.362,0.662,1.098,sheet1,,0.00V,tnet,3in,1.5in,0.75in,default_clock
7.755,0.359,0.659,1.245,sheet1,,0.00V,tnet,3in,1.5in,1.5in,default_clock
7.713,0.406,0.706,1.287,sheet1,,0.00V,tnet,4in,0.75in,0.75in,default_clock
6.866,0.399,0.699,2.134,sheet1,,0.00V,tnet,4in,0.75in,1.5in,default_clock
7.712,0.519,0.819,1.288,sheet1,,0.00V,tnet,4in,1.5in,0.75in,default_clock
7.570,0.505,0.805,1.430,sheet1,,0.00V,tnet,4in,1.5in,1.5in,default_clock
7.513,0.560,0.860,1.487,sheet1,,0.00V,tnet,5in,0.75in,0.75in,default_clock
6.653,0.555,0.855,2.347,sheet1,,0.00V,tnet,5in,0.75in,1.5in,default_clock
7.522,0.677,0.977,1.478,sheet1,,0.00V,tnet,5in,1.5in,0.75in,default_clock
7.369,0.684,0.984,1.631,sheet1,,0.00V,tnet,5in,1.5in,1.5in,default_clock
7.320,0.727,1.027,1.680,sheet1,,0.00V,tnet,6in,0.75in,0.75in,default_clock
6.459,0.727,1.027,2.541,sheet1,,0.00V,tnet,6in,0.75in,1.5in,default_clock
7.322,0.844,1.144,1.678,sheet1,,0.00V,tnet,6in,1.5in,0.75in,default_clock
7.169,0.830,1.130,1.831,sheet1,,0.00V,tnet,6in,1.5in,1.5in,default_clock
