Transfer Net,Driver,Receiver,Node,UI (ns),Floating Vref (V),VinMeas(H/L) Width (ns),Virtual Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Min Voltage (V),Max Voltage (V),Min Slew Time (ns),Max Slew Time (ns),Simulation,Max Eye Width (ns),Max Eye Width Voltage (V),VinMeas Left (V),VinMeas Right (V),VinMeas High Left (V),VinMeas Low Left (V),VinMeas High Right (V),VinMeas Low Right (V),AC Noise,AC Noise Source,Inner Eye Min (V),Inner Eye Max (V),Inner Eye Min Eye Time (ns),Inner Eye Min Sim Time (ns),Inner Eye Max Eye Time (ns),Inner Eye Max Sim Time (ns),Outer Eye Min (V),Outer Eye Max (V),Outer Eye Min Eye Time (ns),Outer Eye Min Sim Time (ns),Outer Eye Max Eye Time (ns),Outer Eye Max Sim Time (ns),VinMeas Width (ns),VinMeas Left Eye Time (ns),VinMeas Right Eye Time (ns),VinMeas Left Sim Time (ns),VinMeas Right Sim Time (ns),VinMeas(H/L) Left Eye Time (ns),VinMeas(H/L) Right Eye Time (ns),VinMeas(H/L) Left Sim Time (ns),VinMeas(H/L) Right Sim Time (ns),Virtual Left Eye Time (ns),Virtual Right Eye Time (ns),Virtual Left Sim Time (ns),Virtual Right Sim Time (ns),Eye Start Sim Time(ns),Eye Stop Sim Time (ns),Min Voltage Eye Time (ns),Min Voltage Sim Time (ns),Max Voltage Eye Time (ns),Max Voltage Sim Time (ns),VinMeas Left Low Eye Time (ns),VinMeas Left Low Sim Time (ns),VinMeas Left High Eye Time (ns),VinMeas Left High Sim Time (ns),VinMeas Right Low Eye Time (ns),VinMeas Right Low Sim Time (ns),VinMeas Right High Eye Time (ns),VinMeas Right High Sim Time (ns),Min Slew Rate (V/ns),Max Slew Rate (V/ns),Min DC Slew Rate (V/ns),Max DC Slew Rate (V/ns),Min AC Slew Rate (V/ns),Max AC Slew Rate (V/ns),Min SRIdiff Slew Rate (V/ns),Min SRIdiff Slew Rate Time (ns),Max SRIdiff Slew Rate (V/ns),Max SRIdiff Slew Rate Time (ns),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),SIMULATOR,AGGRESSORS,CORNER,$T1:DELAY,PATTERN
DQ,designator1,designator2,designator2_pad,10.000,,9.171,9.171,0.020,3.138,3.721,-0.327,3.395,0.596,0.830,designator1_ssse_2\designator1_ssse_2.csd,9.994,1.387,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.000,3.138,8.057,48.057,8.377,58.377,-0.327,3.395,4.657,34.657,4.457,74.457,9.980,2.897,12.877,72.909,82.888,3.377,12.557,63.389,82.560,3.377,12.557,63.389,82.560,32.897,92.897,4.677,34.677,4.477,74.477,3.377,63.389,3.177,73.190,12.577,52.588,12.557,82.560,1.445,2.014,1.825,1.909,1.196,2.135,NoDef,NoDef,NoDef,NoDef,0.006,0.000,0.658,1.050,0.658,IsSpice4,0,SSSE,2in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.286,9.286,0.029,2.985,3.885,-0.385,3.500,0.587,0.708,designator1_ssse_3\designator1_ssse_3.csd,9.989,1.417,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.107,3.092,7.577,37.577,7.577,57.577,-0.385,3.500,4.897,34.897,4.817,54.817,9.971,3.097,13.077,33.108,73.079,3.457,12.737,33.469,62.755,3.457,12.737,33.469,62.755,33.097,73.097,4.917,34.917,4.837,54.837,3.457,33.469,3.377,53.377,12.777,92.778,12.737,62.755,1.694,2.044,1.729,1.993,1.657,2.097,NoDef,NoDef,NoDef,NoDef,0.011,0.007,0.634,1.014,0.634,IsSpice4,0,SSSE,3in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.278,9.278,0.037,2.783,4.070,-0.457,3.613,0.565,0.737,designator1_ssse_4\designator1_ssse_4.csd,9.972,1.434,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.201,2.984,7.797,87.797,7.797,77.797,-0.457,3.613,5.397,65.397,5.197,75.197,9.963,3.317,13.277,83.327,53.290,3.697,12.977,83.703,82.981,3.697,12.977,83.703,82.981,33.297,93.297,5.417,65.417,5.217,75.217,3.697,83.703,3.577,73.590,12.977,52.987,12.977,82.981,1.628,2.122,1.708,2.044,1.555,2.208,NoDef,NoDef,NoDef,NoDef,0.028,0.000,0.598,0.973,0.598,IsSpice4,0,SSSE,4in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.230,9.230,0.048,2.714,4.209,-0.517,3.693,0.589,0.770,designator1_ssse_5\designator1_ssse_5.csd,9.989,1.433,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.232,2.946,8.659,68.659,8.279,58.279,-0.517,3.692,5.899,65.899,5.539,55.539,9.953,3.519,13.479,63.532,53.485,3.919,13.159,63.935,83.164,3.919,13.159,63.935,83.164,33.519,73.519,5.919,65.919,5.559,55.559,3.919,63.935,3.779,93.790,13.179,93.180,13.159,83.164,1.558,2.037,1.635,1.967,1.488,2.113,NoDef,NoDef,NoDef,NoDef,0.011,0.001,0.568,0.945,0.568,IsSpice4,0,SSSE,5in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.180,9.180,0.093,2.691,4.323,-0.556,3.768,0.583,0.792,designator1_ssse_6\designator1_ssse_6.csd,9.924,1.425,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.228,2.919,9.137,89.137,9.037,59.037,-0.556,3.768,6.377,36.377,5.917,55.917,9.907,3.697,13.597,33.705,93.612,4.077,13.257,34.092,63.272,4.077,13.257,34.092,63.272,33.697,73.697,6.397,36.397,5.937,55.937,4.077,34.092,3.957,53.970,13.277,93.281,13.257,63.272,1.516,2.059,1.627,1.985,1.419,2.139,NoDef,NoDef,NoDef,NoDef,0.077,0.064,0.551,0.919,0.551,IsSpice4,0,SSSE,6in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.738,9.738,0.011,3.135,5.227,-0.671,4.557,0.233,0.253,designator1_fffe_2\designator1_fffe_2.csd,9.995,1.416,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.154,3.288,16.219,66.219,16.159,76.159,-0.671,4.556,12.339,32.339,12.479,72.479,9.989,11.679,21.659,81.682,51.671,11.779,21.519,61.798,51.536,11.779,21.519,61.798,51.536,31.699,71.699,12.359,32.359,12.499,72.499,11.779,61.798,11.779,71.792,21.519,51.536,21.559,81.565,4.743,5.144,4.366,5.101,5.124,5.209,NoDef,NoDef,NoDef,NoDef,0.005,0.000,0.439,0.909,0.439,IsSpice4,0,FFFE,2in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.739,9.739,0.009,3.289,5.404,-0.720,4.685,0.232,0.253,designator1_fffe_3\designator1_fffe_3.csd,9.993,1.421,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.015,3.304,17.226,47.226,17.326,57.326,-0.720,4.684,12.666,82.666,12.886,72.886,9.991,11.826,21.826,61.842,51.833,11.946,21.686,31.959,51.698,11.946,21.686,31.959,51.698,31.846,91.846,12.686,82.686,12.906,72.906,11.946,31.959,11.946,91.957,21.686,51.698,21.706,61.724,4.747,5.164,4.424,5.088,5.121,5.242,NoDef,NoDef,NoDef,NoDef,0.007,0.000,0.454,0.864,0.454,IsSpice4,0,FFFE,3in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.734,9.734,0.016,3.414,5.484,-0.736,4.748,0.236,0.254,designator1_fffe_4\designator1_fffe_4.csd,9.996,1.429,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.245,3.659,16.603,36.603,16.483,56.483,-0.736,4.748,13.123,33.123,13.263,73.263,9.984,12.003,21.983,82.007,71.991,12.123,21.843,82.124,71.858,12.123,21.843,82.124,71.858,32.003,72.003,13.143,33.143,13.283,73.283,12.123,82.124,12.103,52.113,21.843,71.858,21.883,81.886,4.733,5.075,4.418,4.997,5.098,5.182,NoDef,NoDef,NoDef,NoDef,0.004,0.001,0.456,0.858,0.456,IsSpice4,0,FFFE,4in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.722,9.722,0.022,2.909,5.506,-0.744,4.762,0.234,0.266,designator1_fffe_5\designator1_fffe_5.csd,9.979,1.370,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.293,3.202,7.652,87.652,6.652,76.652,-0.744,4.762,3.572,83.572,3.712,53.712,9.978,2.172,12.152,72.178,82.156,2.292,12.012,92.298,52.020,2.292,12.012,92.298,52.020,32.152,92.152,3.592,83.592,3.732,53.732,2.272,32.282,2.292,92.298,12.012,52.020,12.032,82.038,4.507,5.131,4.095,5.070,5.011,5.193,NoDef,NoDef,NoDef,NoDef,0.022,0.010,0.457,0.855,0.457,IsSpice4,0,FFFE,5in,default_data
DQ,designator1,designator2,designator2_pad,10.000,,9.695,9.695,0.059,2.507,5.540,-0.747,4.794,0.236,0.267,designator1_fffe_6\designator1_fffe_6.csd,9.976,1.512,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.345,2.852,7.222,87.222,7.082,77.082,-0.747,4.794,4.082,34.082,3.842,73.842,9.942,2.362,12.302,82.378,52.320,2.482,12.182,82.491,52.186,2.482,12.182,82.491,52.186,32.322,92.322,4.102,34.102,3.862,73.862,2.482,82.491,2.442,92.459,12.182,52.186,12.242,82.253,4.493,5.092,3.925,5.010,5.155,5.329,NoDef,NoDef,NoDef,NoDef,0.023,0.003,0.454,0.851,0.454,IsSpice4,0,FFFE,6in,default_data
