Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Power (W),VinMeas Margin,Node VM,Time VM (ns),Min Slew Time (ns),Node MnS,Time MnS (ns),Max Slew Time (ns),Node MxS,Time MxS (ns),VinH Margin (V),Node VHM,Time VHM (ns),VinL Margin (V),Node VLM,Time VLM (ns),Overshoot Low Margin (V),Node OLM,Time OLM (ns),Overshoot High Margin (V),Node OHM,Time OHM (ns),AC Overshoot Low Area Margin (V*ns),Node ACOLAM,Time ACOLAM (ns),AC Overshoot High Area Margin (V*ns),Node ACOHAM,Time ACOHAM (ns),Non Monotonic Time (ns),Node NMT,Time NMT (ns),Eye Width (ns),Node EW,Virtual Eye Width (ns),Node VEW,VinMeas Jitter (ns),Node EJ,Eye Inner Height (V),Node EIH,Eye Outer Height (V),Node EOH,TRANSFER_NET,SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.841,designator2_pad,91.177,0.576,designator2_pad,52.461,0.804,designator2_pad,32.401,1.349,designator2_pad,54.163,1.109,designator2_pad,34.291,,,,,,,,,,,,,,,,9.197,designator2_pad,9.197,designator2_pad,0.004,designator2_pad,3.100,designator2_pad,3.660,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_data
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.844,designator2_pad,51.373,0.584,designator2_pad,52.654,0.727,designator2_pad,62.618,1.447,designator2_pad,54.533,1.159,designator2_pad,64.628,,,,,,,,,,,,,,,,9.272,designator2_pad,9.272,designator2_pad,0.003,designator2_pad,3.145,designator2_pad,3.807,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_data
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.845,designator2_pad,51.582,0.558,designator2_pad,72.862,0.716,designator2_pad,32.814,1.557,designator2_pad,74.929,1.231,designator2_pad,85.097,,,,,,,,,,,,,,,,9.283,designator2_pad,9.283,designator2_pad,0.013,designator2_pad,2.895,designator2_pad,3.991,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_data
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.845,designator2_pad,51.782,0.571,designator2_pad,93.087,0.732,designator2_pad,33.012,1.650,designator2_pad,55.222,1.293,designator2_pad,35.592,,,,,,,,,,,,,,,,9.267,designator2_pad,9.267,designator2_pad,0.042,designator2_pad,2.735,designator2_pad,4.157,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_data
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.844,designator2_pad,51.989,0.574,designator2_pad,53.244,0.777,designator2_pad,63.191,1.721,designator2_pad,75.584,1.336,designator2_pad,36.112,,,,,,,,,,,,,,,,9.223,designator2_pad,9.223,designator2_pad,0.036,designator2_pad,2.684,designator2_pad,4.276,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_data
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.858,designator2_pad,50.794,0.220,designator2_pad,81.453,0.242,designator2_pad,51.427,2.435,designator2_pad,52.279,1.602,designator2_pad,32.312,,,,,,,,,,,,,,,,9.754,designator2_pad,9.754,designator2_pad,0.010,designator2_pad,3.377,designator2_pad,5.247,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_data
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.861,designator2_pad,50.980,0.221,designator2_pad,31.612,0.247,designator2_pad,51.588,2.628,designator2_pad,52.660,1.745,designator2_pad,62.465,,,,,,,,,,,,,,,,9.752,designator2_pad,9.752,designator2_pad,0.003,designator2_pad,3.041,designator2_pad,5.583,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_data
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.873,designator2_pad,43.180,0.222,designator2_pad,81.787,0.244,designator2_pad,51.753,2.691,designator2_pad,73.073,1.818,designator2_pad,62.901,,,,,,,,,,,,,,,,9.759,designator2_pad,9.759,designator2_pad,0.019,designator2_pad,3.269,designator2_pad,5.717,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_data
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.873,designator2_pad,45.605,0.221,designator2_pad,81.915,0.247,designator2_pad,91.893,2.729,designator2_pad,53.508,1.847,designator2_pad,33.409,,,,,,,,,,,,,,,,9.733,designator2_pad,9.733,designator2_pad,0.030,designator2_pad,3.627,designator2_pad,5.798,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_data
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.953,designator2_pad,43.531,0.218,designator2_pad,62.092,0.246,designator2_pad,52.077,2.749,designator2_pad,53.757,1.864,designator2_pad,33.851,,,,,,,,,,,,,,,,9.752,designator2_pad,9.752,designator2_pad,0.009,designator2_pad,2.438,designator2_pad,5.831,designator2_pad,DQM,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_data
