Transfer Net,UI (ns),Node,Designator,Corner,Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),VinMeas Rising Jitter (ns),VinMeas Falling Jitter (ns),Duty Cycle,Inner Height (V),Outer Height (V),Composite Eye Width (ns),Composite VinMeas Jitter (ns),Composite Inner Height (V),Composite Outer Height (V)
sheet1,3.000,All,All,All,2.970,2.970,0.030,0.028,0.030,,3.201,4.084,2.970,0.030,3.201,4.084
sheet1,3.000,myreceiver_pad,myreceiver,All,2.970,2.970,0.030,0.028,0.030,,3.201,4.084,2.970,0.030,3.201,4.084
sheet1,3.000,All,All,TT,2.970,2.970,0.030,0.028,0.030,,3.201,4.084,2.970,0.030,3.201,4.084
sheet1,3.000,myreceiver_pad,myreceiver,TT,2.970,2.970,0.030,0.028,0.030,,3.201,4.084,2.970,0.030,3.201,4.084
sheet3,10.000,All,All,All,9.968,9.968,0.032,0.030,0.031,,2.450,3.247,9.060,0.940,2.450,3.247
sheet3,10.000,target1_pad,target1,All,9.968,9.968,0.032,0.030,0.031,,2.636,3.182,9.960,0.040,2.636,3.182
sheet3,10.000,target2_pad,target2,All,9.971,9.971,0.032,0.029,0.030,,2.621,3.211,9.980,0.020,2.621,3.211
sheet3,10.000,target3_pad,target3,All,9.976,9.976,0.025,0.024,0.024,,2.450,3.247,9.980,0.020,2.450,3.247
sheet3,10.000,All,All,TT,9.968,9.968,0.032,0.030,0.031,,2.450,3.247,9.060,0.940,2.450,3.247
sheet3,10.000,target1_pad,target1,TT,9.968,9.968,0.032,0.030,0.031,,2.636,3.182,9.960,0.040,2.636,3.182
sheet3,10.000,target2_pad,target2,TT,9.971,9.971,0.032,0.029,0.030,,2.621,3.211,9.980,0.020,2.621,3.211
sheet3,10.000,target3_pad,target3,TT,9.976,9.976,0.025,0.024,0.024,,2.450,3.247,9.980,0.020,2.450,3.247
sheet4,10.000,All,All,All,9.688,9.688,0.007,0.002,0.003,,6.886,8.949,9.680,0.000,6.886,8.949
sheet4,10.000,designator1_pad-designator1_l_pad,designator1,All,9.688,9.688,0.007,0.002,0.003,,6.886,8.949,9.680,0.000,6.886,8.949
sheet4,10.000,All,All,TT,9.688,9.688,0.007,0.002,0.003,,6.886,8.949,9.680,0.000,6.886,8.949
sheet4,10.000,designator1_pad-designator1_l_pad,designator1,TT,9.688,9.688,0.007,0.002,0.003,,6.886,8.949,9.680,0.000,6.886,8.949
